id,joint_position,ball_loc
0,[-1.7654179  1.7953844  1.7769045  0.2237263  1.756711   0.0574436 -0.1582118],[ 0.755131 -0.52115   0.261157]
1,[-1.7655061  1.795316   1.7769403  0.2237568  1.7567005  0.0574748 -0.1582303],[ 0.755131 -0.521153  0.261154]
2,[-1.7654956  1.7953229  1.7768557  0.2237854  1.7567334  0.0574828 -0.1581676],[ 0.755133 -0.52117   0.261146]
3,[-1.7654374  1.7952909  1.7768937  0.223772   1.7567065  0.0574562 -0.1582017],[ 0.755135 -0.521175  0.261145]
4,[-1.7654675  1.7953136  1.7769487  0.2237835  1.7567344  0.0574527 -0.158254 ],[ 0.755133 -0.521156  0.261153]
5,[-1.765466   1.7953374  1.7769127  0.2238197  1.756685   0.0574856 -0.1582123],[ 0.75513  -0.521153  0.261154]
6,[-1.7654837  1.7953014  1.7769225  0.223793   1.7567203  0.0574794 -0.1582693],[ 0.755132 -0.521151  0.261149]
7,[-1.7654761  1.7952908  1.7768508  0.2237196  1.7567383  0.0574716 -0.1582509],[ 0.75513  -0.521151  0.261151]
8,[-1.7654555  1.795283   1.7769299  0.2237797  1.756711   0.0574955 -0.1581903],[ 0.755132 -0.521154  0.261153]
9,[-1.7654627  1.7953479  1.776884   0.2238235  1.7567331  0.0574281 -0.1582202],[ 0.75513  -0.52117   0.261149]
10,[-1.7654751  1.795365   1.7768673  0.2237959  1.7567126  0.0574207 -0.1581885],[ 0.755132 -0.521177  0.261149]
11,[-1.7654694  1.7952358  1.7769809  0.2238655  1.7566987  0.0574545 -0.1582105],[ 0.755133 -0.521174  0.261154]
12,[-1.7654975  1.7953007  1.7769337  0.2236748  1.7566664  0.0574453 -0.1582395],[ 0.75513  -0.521172  0.261151]
13,[-1.7655252  1.7953385  1.7769021  0.2237387  1.7567395  0.0574184 -0.1582164],[ 0.755128 -0.521154  0.261155]
14,[-2.2444251  1.3551538  1.8491727  0.5257502  1.8062414  0.0548692 -0.1582282],[ 0.584524 -0.371415  0.066735]
15,[-2.2445129  1.3550794  1.8491114  0.5257254  1.8061788  0.0549232 -0.1582281],[ 0.584525 -0.371422  0.066738]
16,[-2.2444771  1.3550779  1.8491275  0.5257196  1.8062352  0.0549063 -0.1582147],[ 0.584527 -0.37142   0.066737]
17,[-2.0952004  1.7696772  1.7338388 -0.0531281  1.3245772  0.0320776 -0.1582157],[ 0.700875 -0.433708  0.233543]
18,[-2.0950988  1.7696272  1.7339044 -0.0530937  1.3245975  0.0321544 -0.1581963],[ 0.700877 -0.4337    0.233542]
19,[-2.0951451  1.7696247  1.7338701 -0.0531157  1.3246255  0.0320242 -0.1581961],[ 0.700873 -0.433692  0.233545]
20,[-2.0951546  1.7696636  1.7339066 -0.0531347  1.3246392  0.0320637 -0.1581891],[ 0.700874 -0.433696  0.233543]
21,[-2.0951574  1.7696191  1.7338805 -0.0530928  1.3245547  0.0321199 -0.1582259],[ 0.700876 -0.433712  0.233542]
22,[-2.0951436  1.7696286  1.7338556 -0.053108   1.3246583  0.0321204 -0.1581704],[ 0.700876 -0.433716  0.233546]
23,[-2.095166   1.7696178  1.7339016 -0.0531262  1.3246313  0.0320579 -0.1581767],[ 0.700879 -0.433725  0.233543]
24,[-2.0950878  1.7696539  1.7339222 -0.0530651  1.3246288  0.0321251 -0.1582385],[ 0.700879 -0.433723  0.233542]
