id,joint_position,ball_loc
0,[-1.649382   1.9034679  2.090414   0.0893242  1.6778406  0.1139483 -0.4665475],[ 0.809609 -0.464091  0.148328]
1,[-1.649902   1.9035127  2.0905156  0.0892521  1.6778604  0.1139193 -0.466628 ],[ 0.8094   -0.463868  0.148284]
2,[-1.6501359  1.9034758  2.0904672  0.0892439  1.6778703  0.1139501 -0.4665734],[ 0.809348 -0.463806  0.148268]
3,[-1.6507963  1.9035077  2.0905271  0.0890184  1.6780192  0.1139276 -0.4666154],[ 0.809082 -0.463492  0.148243]
4,[-1.6509209  1.9035053  2.0905774  0.089031   1.6780807  0.1139293 -0.4665559],[ 0.809032 -0.463458  0.148239]
5,[-1.6510295  1.9035385  2.0905538  0.0890056  1.6780599  0.1139626 -0.4665416],[ 0.809007 -0.463434  0.148259]
6,[-1.6508754  1.9035223  2.0905116  0.0890336  1.67809    0.1139358 -0.4665859],[ 0.809023 -0.463453  0.148264]
7,[-1.6504321  1.9035562  2.0905268  0.0890964  1.6779889  0.1139005 -0.4665636],[ 0.809213 -0.463625  0.148291]
8,[-1.6503149  1.9034431  2.0905221  0.0890608  1.6779779  0.1139454 -0.4665543],[ 0.809234 -0.463653  0.148289]
9,[-1.6502035  1.9035314  2.0905008  0.0892809  1.6779521  0.1139481 -0.4665303],[ 0.809297 -0.463724  0.148316]
10,[-1.6502522  1.9034735  2.0905185  0.089216   1.6778171  0.1139572 -0.4666126],[ 0.809288 -0.463724  0.148324]
11,[-1.6514157  1.9033426  2.0904384  0.0893048  1.6769123  0.1139719 -0.4665874],[ 0.809164 -0.463648  0.148323]
12,[-1.6519167  1.9032221  2.0903633  0.089336   1.6765018  0.114035  -0.4665881],[ 0.809098 -0.463601  0.148318]
13,[-1.654797   1.9023356  2.0897734  0.0889255  1.674379   0.1142921 -0.466598 ],[ 0.80867  -0.463288  0.148184]
14,[-1.6558174  1.90196    2.0892918  0.0884072  1.6730577  0.114463  -0.4665298],[ 0.808514 -0.463182  0.1481  ]
15,[-1.6652404  1.8984725  2.0857327  0.0882352  1.6629806  0.1161806 -0.4665503],[ 0.807053 -0.463038  0.148117]
16,[-1.6746827  1.8945906  2.0814669  0.0888748  1.6548816  0.1172938 -0.46659  ],[ 0.805047 -0.462909  0.148522]
17,[-1.6856242  1.8903581  2.0766468  0.0901648  1.6461926  0.11999   -0.4665861],[ 0.802714 -0.462937  0.14889 ]
18,[-1.6885991  1.8891574  2.0753453  0.0905552  1.6433574  0.1216097 -0.4665997],[ 0.802317 -0.462951  0.148828]
19,[-1.6915749  1.8878757  2.0740402  0.0910191  1.6409656  0.1236192 -0.466611 ],[ 0.801871 -0.46299   0.14884 ]
20,[-1.7031474  1.8823578  2.06915    0.0936576  1.631673   0.1270423 -0.4665881],[ 0.799633 -0.463192  0.148808]
21,[-1.7055556  1.8810136  2.0680113  0.0949608  1.6298413  0.1274198 -0.4665213],[ 0.799073 -0.463326  0.148926]
22,[-1.7138349  1.8758374  2.065146   0.1019464  1.6277767  0.1277639 -0.4665139],[ 0.796318 -0.463827  0.149216]
23,[-1.7151705  1.8749462  2.0647304  0.1040657  1.6281523  0.1277638 -0.466594 ],[ 0.795764 -0.463947  0.149203]
24,[-1.7179081  1.8706666  2.0633714  0.1100266  1.6294034  0.127728  -0.4665544],[ 0.794163 -0.464669  0.149093]
25,[-1.7178719  1.8699272  2.0633686  0.1117604  1.6297466  0.1277817 -0.4666093],[ 0.794029 -0.464959  0.149011]
26,[-1.7154535  1.8664888  2.063309   0.1154462  1.6316864  0.1277542 -0.4665827],[ 0.794369 -0.466422  0.148458]
27,[-1.7145438  1.8657912  2.0633161  0.1155817  1.631846   0.1278043 -0.466605 ],[ 0.794579 -0.466682  0.148305]
28,[-1.7095641  1.8627347  2.0634458  0.1164286  1.631858   0.1278574 -0.4665358],[ 0.796082 -0.468331  0.147109]
29,[-1.7042143  1.8594846  2.0629447  0.1155574  1.6318284  0.1280845 -0.4666053],[ 0.797823 -0.469855  0.146159]
30,[-1.7006838  1.8566195  2.0605628  0.1136292  1.6321219  0.1284772 -0.466578 ],[ 0.798887 -0.471008  0.145861]
31,[-1.7000455  1.8556757  2.0596609  0.1136253  1.6322361  0.1286833 -0.4665514],[ 0.799121 -0.471405  0.145836]
32,[-1.696702   1.8500198  2.0520186  0.1105165  1.6345307  0.1293582 -0.4665829],[ 0.799658 -0.473686  0.146627]
33,[-1.6947342  1.8458695  2.0443473  0.110022   1.6401029  0.1310031 -0.4665993],[ 0.799514 -0.475759  0.148404]
34,[-1.6942093  1.8449638  2.0422671  0.1101372  1.6420195  0.1318112 -0.4664917],[ 0.799418 -0.476184  0.148884]
35,[-1.6932807  1.8395627  2.0313551  0.1110582  1.6486135  0.137215  -0.4665183],[ 0.798886 -0.478977  0.151406]
36,[-1.6912941  1.8345263  2.0232861  0.1114342  1.6575862  0.1374841 -0.466572 ],[ 0.798064 -0.480942  0.153557]
37,[-1.6909761  1.8331821  2.0214088  0.1116189  1.6590904  0.1376825 -0.4665777],[ 0.797932 -0.48143   0.153843]
38,[-1.687184   1.8259761  2.0136261  0.1125867  1.67039    0.1388588 -0.4665565],[ 0.797556 -0.48364   0.155005]
39,[-1.6839415  1.8215344  2.0107563  0.113227   1.677471   0.1395424 -0.4666223],[ 0.79764  -0.484921  0.154917]
40,[-1.6826906  1.8202043  2.0100739  0.1132703  1.6796348  0.1397631 -0.4665288],[ 0.797736 -0.48514   0.154785]
41,[-1.6783231  1.8154484  2.0093064  0.1137728  1.685478   0.1407707 -0.4665743],[ 0.798483 -0.486187  0.153586]
42,[-1.6772957  1.8142399  2.0092425  0.1135601  1.6871252  0.1411211 -0.4665773],[ 0.79869  -0.486257  0.15321 ]
43,[-1.6736897  1.8095773  2.0095482  0.1127455  1.6912909  0.1427636 -0.4666106],[ 0.799635 -0.486524  0.15115 ]
44,[-1.6730003  1.8084092  2.0096426  0.1129021  1.6920806  0.1440762 -0.4666238],[ 0.799827 -0.486614  0.150761]
45,[-1.6723289  1.807296   2.0097499  0.1130749  1.6928343  0.1456585 -0.4665096],[ 0.800075 -0.486731  0.15025 ]
46,[-1.6709754  1.8048857  2.0096991  0.1136912  1.6945364  0.1484088 -0.4665659],[ 0.800723 -0.487147  0.148804]
47,[-1.6704061  1.8037398  2.0098369  0.1147101  1.6953709  0.1489898 -0.4665801],[ 0.800891 -0.487341  0.148424]
48,[-1.6698365  1.8028219  2.0099943  0.1159496  1.6964259  0.1490271 -0.4665633],[ 0.801013 -0.487604  0.14818 ]
49,[-1.6680017  1.79877    2.0101829  0.1235209  1.7013379  0.1490989 -0.4665366],[ 0.800915 -0.489107  0.147415]
50,[-1.6677165  1.7979089  2.0099344  0.1255305  1.7021685  0.149144  -0.4665851],[ 0.800842 -0.48949   0.147351]
51,[-1.6674001  1.7969623  2.0098019  0.1274866  1.7031155  0.1491533 -0.4665715],[ 0.800788 -0.489892  0.147271]
52,[-1.6667334  1.7940792  2.0097458  0.1382098  1.7055287  0.1494177 -0.4665997],[ 0.800508 -0.492263  0.147461]
53,[-1.6660936  1.791485   2.0094926  0.1466021  1.7082767  0.1498676 -0.4665733],[ 0.800178 -0.494222  0.147569]
54,[-1.6660548  1.7908584  2.0095398  0.1486923  1.7088215  0.1502286 -0.4665768],[ 0.800182 -0.494608  0.147532]
55,[-1.6660619  1.7880791  2.0092828  0.1530853  1.7096732  0.1508013 -0.4665385],[ 0.799891 -0.495723  0.147127]
56,[-1.6661609  1.7873942  2.0093091  0.1542515  1.7097878  0.1510393 -0.4665664],[ 0.799926 -0.495914  0.147001]
57,[-1.6663578  1.7847679  2.0093584  0.1553923  1.7099319  0.1518889 -0.4665992],[ 0.799846 -0.4963    0.146173]
58,[-1.6663986  1.7838886  2.0093327  0.155348   1.7099969  0.1519713 -0.4665571],[ 0.799845 -0.496305  0.145926]
59,[-1.6667746  1.7797887  2.00963    0.1579219  1.7099824  0.1522062 -0.4666018],[ 0.799717 -0.496695  0.144439]
60,[-1.6669217  1.7785996  2.0096431  0.1584962  1.7099342  0.1522356 -0.46658  ],[ 0.799693 -0.496787  0.144167]
61,[-1.6672422  1.7736431  2.0097232  0.1631131  1.7102877  0.1522246 -0.4665751],[ 0.799415 -0.497642  0.142763]
62,[-1.6672982  1.7683192  2.0097189  0.1704758  1.7110188  0.1522822 -0.4665657],[ 0.799181 -0.499273  0.141485]
63,[-1.6675704  1.7635945  2.0098116  0.1798616  1.7110445  0.152277  -0.4665485],[ 0.798956 -0.501233  0.140662]
64,[-1.6677669  1.7623763  2.0098827  0.1823598  1.7110987  0.1522822 -0.4665722],[ 0.79882  -0.501724  0.140464]
65,[-1.6678619  1.7610924  2.0097368  0.1843913  1.7111512  0.1523339 -0.4665513],[ 0.798731 -0.502142  0.14042 ]
66,[-1.668408   1.7574286  2.0094655  0.1911851  1.7111284  0.1523184 -0.4665541],[ 0.79835  -0.503815  0.139892]
67,[-1.6687067  1.7564752  2.0094922  0.1936558  1.711104   0.1524339 -0.4665737],[ 0.798252 -0.504266  0.139757]
68,[-1.6689464  1.7551887  2.0094683  0.196027   1.7111195  0.1524359 -0.4665943],[ 0.798126 -0.504674  0.139579]
69,[-1.6707629  1.7507803  2.0095942  0.205204   1.7110785  0.1531265 -0.466615 ],[ 0.797403 -0.506426  0.138858]
70,[-1.6713887  1.7495115  2.0094113  0.2064283  1.7111075  0.1537654 -0.4665956],[ 0.797219 -0.50666   0.138635]
71,[-1.6748945  1.7446184  2.0093133  0.2125112  1.7105118  0.1588903 -0.4664732],[ 0.796471 -0.507388  0.137045]
72,[-1.6758637  1.7432779  2.009377   0.2142317  1.7103746  0.1603178 -0.4665817],[ 0.796307 -0.507506  0.136632]
