id,joint_position,ball_loc
0,[ 0.5293479  2.8160747  2.8392235  3.4657683  1.1912091  0.039677  -0.1618626],[ 0.970478 -0.414542  0.359066]
1,[ 0.5323224  2.8160828  2.8391918  3.4657311  1.191194   0.0397126 -0.1618461],[ 0.971045 -0.414708  0.359215]
2,[ 0.5441917  2.8160463  2.8392743  3.4658193  1.1911709  0.0396787 -0.1618353],[ 0.97411  -0.415966  0.359146]
3,[ 0.5472597  2.8161309  2.8392333  3.4657137  1.1911212  0.03967   -0.1618324],[ 0.974737 -0.416278  0.359119]
4,[ 0.5593508  2.816087   2.8392211  3.4657783  1.1911653  0.0397062 -0.1618275],[ 0.977867 -0.417366  0.359221]
5,[ 0.5623551  2.816077   2.8392724  3.4657116  1.1911008  0.0396889 -0.1618187],[ 0.978481 -0.41755   0.359266]
6,[ 0.5741688  2.8160949  2.8391606  3.4658036  1.1911471  0.0396748 -0.1618295],[ 0.981636 -0.418667  0.359302]
7,[ 0.5770281  2.8160656  2.8392712  3.4657404  1.1911843  0.0396768 -0.1618052],[ 0.982183 -0.418817  0.359343]
8,[ 0.5889371  2.816084   2.8392335  3.4657385  1.1912039  0.0397026 -0.1618174],[ 0.985151 -0.419735  0.35952 ]
9,[ 0.5920253  2.8160887  2.8392488  3.4657345  1.1911677  0.0396995 -0.1618026],[ 0.985869 -0.420099  0.359412]
10,[ 0.6042837  2.8160809  2.8392981  3.4657857  1.191147   0.0396957 -0.1618145],[ 0.98915  -0.421137  0.359458]
11,[ 0.6077646  2.8161045  2.8391803  3.4657809  1.1911821  0.0396773 -0.161859 ],[ 0.989735 -0.421266  0.359522]
12,[ 0.6108801  2.8160952  2.8391994  3.4657395  1.191165   0.0396838 -0.1618483],[ 0.990411 -0.421534  0.35952 ]
13,[ 0.6198312  2.8160646  2.8392354  3.4657552  1.1912322  0.0397418 -0.1618544],[ 0.993006 -0.422308  0.359589]
14,[ 0.6229117  2.8160572  2.8392306  3.4657886  1.1911794  0.0396463 -0.1618931],[ 0.993609 -0.422397  0.359695]
15,[ 0.6259889  2.816077   2.8392559  3.465785   1.1912217  0.039669  -0.1618301],[ 0.994371 -0.42265   0.359615]
16,[ 0.6350367  2.8160606  2.8392543  3.4656634  1.1911503  0.0397043 -0.1617909],[ 0.996948 -0.423382  0.359635]
17,[ 0.6379896  2.8160711  2.8392054  3.4657788  1.1911682  0.0396828 -0.1618548],[ 0.997572 -0.423554  0.359663]
18,[ 0.6495778  2.8160704  2.8392452  3.4657824  1.191129   0.0396763 -0.1618219],[ 1.000645 -0.424403  0.359733]
19,[ 0.6524905  2.8161216  2.8392011  3.4657578  1.1911675  0.0396574 -0.1617612],[ 1.001244 -0.42461   0.359741]
20,[ 0.6557537  2.8160489  2.8392376  3.4656865  1.1911782  0.0396802 -0.1618444],[ 1.001747 -0.424695  0.359804]
21,[ 0.6642292  2.8160749  2.8392335  3.4657621  1.1911127  0.0397487 -0.1617689],[ 1.0043   -0.425289  0.359873]
