id,joint_position,ball_loc
0,[ 0.7485551  3.2197593  2.5974138  0.342472   0.7929146 -0.862778  -0.3490412],[ 1.225361 -0.166004  0.407972]
1,[ 0.7515963  3.2197579  2.5974529  0.3424452  0.7929447 -0.8627867 -0.3490777],[ 1.225345 -0.165595  0.40797 ]
2,[ 0.7638056  3.2197469  2.5974038  0.342439   0.7929301 -0.8628044 -0.3490949],[ 1.225365 -0.164002  0.407929]
3,[ 0.7669824  3.2197233  2.5974407  0.3424769  0.7929517 -0.8628229 -0.349032 ],[ 1.225355 -0.163209  0.40792 ]
4,[ 0.7788678  3.2197919  2.5974378  0.3424566  0.792949  -0.8628035 -0.3491121],[ 1.225324 -0.161214  0.407857]
5,[ 0.7818385  3.2197693  2.5973952  0.342451   0.7928871 -0.8627159 -0.3490942],[ 1.225294 -0.160824  0.407869]
6,[ 0.7935942  3.219739   2.597424   0.3424469  0.7929293 -0.8627652 -0.3490896],[ 1.225224 -0.158885  0.407815]
7,[ 0.7964537  3.2197271  2.5973754  0.3424574  0.7929376 -0.8627597 -0.3490748],[ 1.225204 -0.158522  0.407834]
8,[ 0.8083346  3.2197514  2.5974083  0.3424227  0.7929923 -0.8628079 -0.3490546],[ 1.225114 -0.156614  0.407807]
9,[ 0.8114431  3.2197447  2.597399   0.3424128  0.7929545 -0.8628043 -0.3490184],[ 1.225096 -0.156197  0.407763]
10,[ 0.8144461  3.2197593  2.5973878  0.3424957  0.7929056 -0.8628123 -0.3490583],[ 1.225074 -0.155772  0.407761]
11,[ 0.8205352  3.219755   2.5974831  0.3424564  0.7929221 -0.8627665 -0.3490955],[ 1.225021 -0.155     0.407759]
12,[ 0.8236297  3.2197466  2.5974231  0.342497   0.792924  -0.8627742 -0.3490888],[ 1.224952 -0.154162  0.407706]
13,[ 0.8266133  3.2197459  2.597408   0.3423995  0.792938  -0.8627878 -0.3490618],[ 1.224912 -0.15375   0.407733]
14,[ 0.8385885  3.2197724  2.5974467  0.3424239  0.7929755 -0.8627456 -0.3491106],[ 1.224697 -0.151783  0.407736]
15,[ 0.841679   3.2197292  2.597419   0.3424868  0.7929153 -0.8627858 -0.3490426],[ 1.224728 -0.151424  0.407725]
16,[ 0.8535357  3.2197376  2.5974257  0.3424315  0.7929486 -0.8627794 -0.3490427],[ 1.224494 -0.149434  0.407681]
17,[ 0.8565634  3.2197602  2.5974343  0.3424121  0.7929669 -0.8627689 -0.3490917],[ 1.224504 -0.14905   0.40765 ]
18,[ 0.8596645  3.2197605  2.5973933  0.3425096  0.7928752 -0.8627843 -0.3490393],[ 1.224461 -0.148646  0.407609]
19,[ 0.8687441  3.2198024  2.5974004  0.3424481  0.7929121 -0.8627873 -0.3491116],[ 1.224292 -0.147071  0.407603]
20,[ 0.8718251  3.2197342  2.5974083  0.3424095  0.7929772 -0.8628115 -0.349074 ],[ 1.224243 -0.146671  0.407587]
21,[ 0.8813686  3.2197505  2.597388   0.3424991  0.7929089 -0.8627825 -0.3490979],[ 1.224055 -0.145088  0.40756 ]
22,[ 0.8843717  3.2197164  2.5974467  0.3424165  0.792882  -0.8627707 -0.3489976],[ 1.223997 -0.144716  0.407583]
23,[ 0.8960056  3.2196904  2.5974078  0.3424612  0.792968  -0.8627461 -0.3490814],[ 1.223725 -0.14279   0.407552]
24,[ 0.8987801  3.2197829  2.5974836  0.3424549  0.7928911 -0.8627937 -0.349016 ],[ 1.223686 -0.142378  0.407477]
25,[ 0.9103751  3.2197228  2.5973887  0.3424722  0.7929079 -0.862769  -0.3491409],[ 1.223356 -0.140524  0.407473]
26,[ 0.9133183  3.2197686  2.5973885  0.342427   0.7929266 -0.8627199 -0.3490489],[ 1.223306 -0.140153  0.407468]
27,[ 0.9255007  3.21977    2.5974171  0.3424628  0.7929696 -0.8627878 -0.3490541],[ 1.222967 -0.138195  0.407443]
28,[ 0.928655   3.2197681  2.5974526  0.3424259  0.7929142 -0.862775  -0.349074 ],[ 1.22289  -0.137778  0.40742 ]
29,[ 0.9412362  3.2197784  2.5974834  0.3424401  0.792912  -0.8628342 -0.349072 ],[ 1.222528 -0.1357    0.407364]
