id,joint_position,ball_loc
0,[-1.6939521  1.8343567  2.0500525  1.1946882  2.0456948 -0.2781304 -0.1633187],[ 0.726383 -0.524624  0.330667]
1,[-1.6939291  1.8343493  2.0501035  1.1946512  2.0457222 -0.2781096 -0.1634323],[ 0.726389 -0.524629  0.330687]
2,[-1.6939799  1.8343988  2.0500222  1.1946499  2.0457663 -0.2780998 -0.163365 ],[ 0.726378 -0.524613  0.330678]
3,[-1.6939432  1.83438    2.0501147  1.1946573  2.0456788 -0.2781341 -0.1633956],[ 0.726376 -0.524614  0.330672]
4,[-1.6939454  1.8343615  2.050053   1.1946752  2.0457518 -0.27806   -0.1634498],[ 0.726364 -0.524614  0.330661]
5,[-1.6939508  1.8342916  2.0500783  1.1946755  2.0456629 -0.2781218 -0.1633547],[ 0.726366 -0.524615  0.330658]
6,[-1.6939748  1.8343853  2.0501062  1.1946428  2.0457153 -0.2781982 -0.1633663],[ 0.726366 -0.52462   0.330653]
7,[-1.6939303  1.8343461  2.0500394  1.1946767  2.0457187 -0.2780728 -0.1633459],[ 0.726379 -0.52462   0.330663]
8,[-1.6939277  1.8342971  2.0500523  1.1946264  2.0456734 -0.2781713 -0.163392 ],[ 0.726383 -0.524621  0.330668]
9,[-1.6940197  1.8343878  2.0500735  1.1946857  2.0457778 -0.2781271 -0.163389 ],[ 0.726381 -0.524615  0.330672]
10,[-1.6939332  1.8343538  2.0501119  1.1946345  2.0457299 -0.2781484 -0.1633985],[ 0.726377 -0.524614  0.330671]
11,[-1.6939293  1.8343556  2.050078   1.1946876  2.0457074 -0.2781694 -0.1634265],[ 0.726374 -0.524612  0.330673]
12,[-1.6939676  1.8343138  2.0501188  1.1946561  2.0457332 -0.2781872 -0.1634018],[ 0.726366 -0.524612  0.330661]
13,[-1.693901   1.8343865  2.0500764  1.1946642  2.0457368 -0.2781385 -0.1634123],[ 0.726363 -0.524612  0.330658]
14,[-1.6939398  1.8343291  2.0501155  1.1946782  2.0457089 -0.2781899 -0.163381 ],[ 0.726369 -0.524614  0.330662]
15,[-1.6939494  1.8343662  2.0500899  1.1946068  2.0457566 -0.278105  -0.1633854],[ 0.726382 -0.524618  0.33067 ]
16,[-1.6939569  1.8343593  2.0500358  1.1946311  2.0456927 -0.2781299 -0.1633873],[ 0.726382 -0.524622  0.330673]
17,[-1.6939628  1.8343591  2.0501169  1.1947032  2.0457637 -0.2781184 -0.163432 ],[ 0.726385 -0.524623  0.330671]
18,[-1.6940018  1.8343927  2.0501228  1.194683   2.0456953 -0.2781631 -0.1633805],[ 0.726369 -0.524614  0.330659]
19,[-1.6939369  1.8343527  2.0500859  1.1946956  2.0457718 -0.2781527 -0.1633624],[ 0.726363 -0.524612  0.330653]
20,[-2.0424793  1.8895956  2.0305122  0.9292149  2.0175836 -0.2970883 -0.1602452],[ 0.636346 -0.368278  0.320107]
21,[-2.0425275  1.8895042  2.0305358  0.9292077  2.0176632 -0.2971266 -0.1602344],[ 0.636349 -0.368275  0.320101]
22,[-2.0424378  1.8895224  2.0305561  0.9291623  2.0177922 -0.2971019 -0.1602883],[ 0.636351 -0.368241  0.320086]
23,[-2.0425017  1.8895179  2.0304705  0.929176   2.0178704 -0.2971242 -0.1602866],[ 0.636346 -0.368236  0.320082]
