id,joint_position,ball_loc
0,[12.9641172  2.8705866  2.5569022  1.4087219  0.324459   0.4891379 -0.1583238],[ 1.278648 -0.058839  0.436833]
1,[12.9610255  2.8706162  2.5568144  1.4087629  0.3244803  0.4891235 -0.1582261],[ 1.278889 -0.059362  0.436844]
2,[12.9517343  2.8706336  2.5568302  1.4087076  0.324427   0.489161  -0.1583213],[ 1.27981  -0.061442  0.436872]
3,[12.9487378  2.870636   2.5568051  1.4087534  0.3244506  0.4891078 -0.1583509],[ 1.280058 -0.061956  0.436856]
4,[12.9456347  2.8706255  2.556838   1.4087563  0.3245423  0.4890577 -0.1583123],[ 1.280276 -0.062471  0.436872]
5,[12.9337315  2.8706133  2.5568833  1.4087143  0.3244746  0.4891353 -0.1582764],[ 1.281395 -0.065039  0.436886]
6,[12.9190246  2.8706634  2.5568004  1.4087763  0.3244681  0.4891281 -0.158326 ],[ 1.282628 -0.068058  0.436918]
7,[12.9160815  2.8705807  2.5568669  1.4086857  0.3244436  0.4890992 -0.1583261],[ 1.282833 -0.068546  0.436912]
8,[12.9044765  2.8706105  2.5568318  1.4086895  0.3244714  0.4890903 -0.1583406],[ 1.283845 -0.071051  0.436939]
9,[12.9016014  2.8706205  2.5567889  1.4087219  0.3244555  0.4890985 -0.1583104],[ 1.284026 -0.071559  0.436938]
10,[12.8896753  2.8706713  2.5567985  1.408741   0.324472   0.4891181 -0.1583194],[ 1.284984 -0.074108  0.436954]
11,[12.8867666  2.8706257  2.5568106  1.4087152  0.3244501  0.4891208 -0.1583518],[ 1.28518  -0.074635  0.436968]
12,[12.874774   2.8706515  2.556834   1.4087191  0.3244376  0.4891079 -0.158318 ],[ 1.286139 -0.077222  0.436974]
13,[12.8717953  2.8706312  2.5568526  1.4087477  0.3244268  0.4891589 -0.1583266],[ 1.286328 -0.077758  0.43699 ]
14,[12.8597332  2.8706636  2.5567589  1.4087152  0.3245013  0.4891329 -0.1583972],[ 1.287219 -0.080373  0.437002]
15,[12.8566392  2.8706021  2.5568175  1.4087133  0.3244788  0.4891249 -0.1582539],[ 1.287402 -0.080911  0.437008]
16,[12.8444834  2.8706684  2.556854   1.4087324  0.3244702  0.4890391 -0.158312 ],[ 1.288287 -0.083591  0.43702 ]
17,[12.841481   2.8706038  2.5567956  1.4087029  0.3244633  0.4890386 -0.1582982],[ 1.288465 -0.084137  0.437021]
18,[12.8293443  2.8705924  2.5567994  1.4087496  0.3244847  0.4890877 -0.1582998],[ 1.289298 -0.086844  0.437047]
19,[12.8261617  2.870641   2.5568688  1.4087906  0.3244345  0.4890707 -0.1582689],[ 1.289468 -0.087387  0.437069]
20,[12.8140721  2.8706181  2.5568132  1.4086847  0.3244278  0.4891177 -0.1582839],[ 1.290256 -0.090095  0.437083]
21,[12.8111812  2.8706217  2.5567806  1.4086905  0.3244873  0.4890824 -0.1583249],[ 1.29041  -0.090622  0.43709 ]
22,[12.799183   2.870687   2.5568101  1.4087009  0.3244587  0.4890665 -0.1582868],[ 1.291151 -0.093272  0.43712 ]
23,[12.7960945  2.8706136  2.5568366  1.40868    0.324472   0.4891401 -0.1583372],[ 1.291303 -0.093798  0.437119]
24,[12.7839907  2.8706558  2.5568221  1.4086933  0.3244308  0.4891278 -0.158331 ],[ 1.291996 -0.096514  0.437144]
25,[12.7810786  2.8706262  2.5568004  1.4086533  0.3244189  0.4891025 -0.1583473],[ 1.292128 -0.097058  0.437135]
26,[12.768944   2.8706203  2.5568409  1.408699   0.3245007  0.4890518 -0.1583359],[ 1.292804 -0.0998    0.437159]
27,[12.7658717  2.8706248  2.5568097  1.4086752  0.3245538  0.4891184 -0.1583466],[ 1.292949 -0.100354  0.437171]
28,[12.753749   2.8705821  2.556865   1.4086828  0.324442   0.4891665 -0.1583048],[ 1.293573 -0.103088  0.43719 ]
29,[12.7507847  2.8706672  2.5568235  1.4087639  0.3244321  0.4891481 -0.1583498],[ 1.293696 -0.103637  0.437216]
30,[12.7387653  2.8706346  2.5568261  1.4087191  0.3244737  0.4890951 -0.1583621],[ 1.294272 -0.106336  0.437211]
31,[12.7356757  2.8705974  2.5568483  1.4087057  0.3244178  0.4891242 -0.158279 ],[ 1.294378 -0.106868  0.437235]
32,[12.7236886  2.8705766  2.5568488  1.4086962  0.3244526  0.4891353 -0.1583124],[ 1.295156 -0.109609  0.437226]
33,[12.720783   2.8705838  2.5568349  1.4086914  0.3245192  0.4891735 -0.1583277],[ 1.29524  -0.110156  0.437216]
34,[12.7114432  2.8706241  2.5568471  1.4086447  0.3244497  0.4890548 -0.1582979],[ 1.295664 -0.112351  0.437247]
35,[12.7087188  2.870651   2.5568216  1.4087706  0.324459   0.489076  -0.1582559],[ 1.295765 -0.112896  0.437259]
36,[12.7057812  2.870682   2.5568109  1.4086876  0.3244729  0.4890786 -0.1583148],[ 1.295853 -0.113439  0.437247]
37,[12.6939316  2.8705595  2.5567911  1.4087687  0.324464   0.4891499 -0.1582699],[ 1.296294 -0.116107  0.437278]
38,[12.6909866  2.8706293  2.5567944  1.4087982  0.3244808  0.4890979 -0.1583178],[ 1.296372 -0.116647  0.437292]
39,[12.67931    2.8706546  2.5568016  1.4086962  0.3244889  0.4891264 -0.1583811],[ 1.296711 -0.118769  0.43731 ]
40,[12.6764091  2.870615   2.5567636  1.4087439  0.3244997  0.4891361 -0.1582823],[ 1.296607 -0.119813  0.437494]
41,[12.6647428  2.870609   2.5568826  1.4086847  0.3245322  0.4891255 -0.1583001],[ 1.29723  -0.122512  0.437344]
42,[12.6617422  2.8706353  2.5567698  1.4087381  0.3244895  0.4891145 -0.1582689],[ 1.297077 -0.123011  0.437505]
43,[12.6498752  2.8706369  2.5568221  1.4087076  0.3245295  0.4891133 -0.1582963],[ 1.297636 -0.125784  0.437385]
44,[12.6468433  2.8706703  2.5567992  1.4086971  0.3244514  0.4891295 -0.1583221],[ 1.297451 -0.126296  0.437543]
45,[12.6347628  2.870667   2.5568104  1.4087877  0.3244721  0.4891117 -0.1583669],[ 1.297986 -0.129034  0.437418]
46,[12.631587   2.8706429  2.5568094  1.4087553  0.32451    0.4891037 -0.1583665],[ 1.298046 -0.129588  0.437425]
47,[12.6194676  2.870656   2.5568018  1.4087496  0.3244798  0.4890935 -0.1583533],[ 1.298388 -0.132376  0.437399]
48,[12.616567   2.870616   2.5568035  1.4087534  0.3244398  0.4891029 -0.1583411],[ 1.298424 -0.132934  0.437426]
49,[12.6044778  2.8705733  2.5568643  1.4086428  0.3244757  0.4890881 -0.1582925],[ 1.298637 -0.135692  0.437436]
50,[12.6014279  2.8706191  2.5568895  1.4087181  0.3244456  0.4890499 -0.1583581],[ 1.298682 -0.136247  0.437438]
51,[12.5892834  2.8705566  2.5567701  1.4087934  0.3245239  0.4891175 -0.1582916],[ 1.298856 -0.138967  0.437487]
52,[12.5863231  2.8706231  2.5568004  1.4086599  0.3244582  0.4890696 -0.1583175],[ 1.298875 -0.139506  0.437475]
53,[12.5743345  2.87061    2.5568173  1.4086943  0.3244133  0.4891085 -0.1583191],[ 1.299013 -0.142223  0.437507]
54,[12.571246   2.8706255  2.5568802  1.4086542  0.3245127  0.4890901 -0.1583145],[ 1.299022 -0.142766  0.437521]
55,[12.5592933  2.8706398  2.556828   1.4087334  0.3244674  0.4891417 -0.1583111],[ 1.299127 -0.1455    0.43754 ]
56,[12.5562882  2.8706787  2.5568464  1.408741   0.3244309  0.4891493 -0.1583922],[ 1.299132 -0.146045  0.437538]
57,[12.5442521  2.8706565  2.5569031  1.4087372  0.3244641  0.4890889 -0.1582736],[ 1.299193 -0.14878   0.437576]
58,[12.5411318  2.8706129  2.5568655  1.4086065  0.3244881  0.4891501 -0.1583402],[ 1.299199 -0.149313  0.437552]
59,[12.5288323  2.8706377  2.5568044  1.4087439  0.3245037  0.4891238 -0.1583582],[ 1.299195 -0.152103  0.437592]
60,[12.5258167  2.8706057  2.5568094  1.408761   0.324497   0.4891102 -0.1583814],[ 1.299196 -0.152647  0.43762 ]
61,[12.5134518  2.8706353  2.556869   1.4087172  0.3244331  0.4890904 -0.1583083],[ 1.299147 -0.155407  0.437617]
62,[12.5104616  2.8706169  2.5568273  1.40874    0.3244891  0.4890801 -0.1582851],[ 1.299146 -0.155974  0.437648]
63,[12.4982736  2.8706393  2.5568378  1.4087172  0.3245351  0.4891211 -0.1583332],[ 1.299086 -0.158742  0.437646]
64,[12.4952152  2.8706293  2.5567989  1.4087706  0.3244697  0.4890845 -0.1582796],[ 1.299079 -0.159288  0.437645]
65,[12.4833151  2.8706279  2.556854   1.4087057  0.3244795  0.4891115 -0.1583294],[ 1.298965 -0.162013  0.437697]
66,[12.480282   2.8705885  2.5568304  1.4087048  0.3244584  0.4890865 -0.1583004],[ 1.298926 -0.162544  0.437713]
67,[12.4684447  2.8706737  2.5567682  1.4087152  0.324405   0.489153  -0.1583097],[ 1.298771 -0.165227  0.437725]
68,[12.4654353  2.8706317  2.5568419  1.4086857  0.3244991  0.4891219 -0.158373 ],[ 1.298766 -0.165769  0.437742]
69,[12.4535755  2.8706586  2.5568507  1.4087591  0.3244841  0.4890887 -0.1582886],[ 1.29858  -0.168478  0.437756]
70,[12.4507149  2.8706629  2.5568967  1.4086981  0.3244296  0.4891094 -0.1583029],[ 1.298513 -0.168987  0.437757]
71,[12.4389929  2.8706529  2.5568171  1.4087124  0.3244876  0.4890927 -0.158265 ],[ 1.298292 -0.171655  0.437787]
72,[12.4360777  2.8706145  2.5569007  1.4087725  0.3244821  0.4891208 -0.1583285],[ 1.298233 -0.172197  0.437814]
73,[12.4243866  2.8706543  2.5567703  1.4088116  0.3244886  0.4890914 -0.1582991],[ 1.297983 -0.174804  0.437808]
74,[12.4213982  2.8707004  2.5568967  1.40874    0.3245134  0.4890957 -0.1582748],[ 1.297917 -0.175327  0.437821]
75,[12.4091931  2.8706357  2.5568609  1.4086809  0.3244355  0.4890545 -0.1583159],[ 1.297614 -0.178072  0.437848]
76,[12.4061274  2.8705573  2.5568981  1.4087095  0.3244632  0.4890929 -0.158264 ],[ 1.297544 -0.178615  0.437847]
77,[12.3937013  2.8706806  2.5567529  1.4087162  0.324452   0.4890995 -0.1583312],[ 1.297164 -0.181451  0.43788 ]
78,[12.3905324  2.8706152  2.5568311  1.4087143  0.324538   0.4890912 -0.158339 ],[ 1.297087 -0.182023  0.437895]
79,[12.3630381  2.8706715  2.556881   1.4086809  0.3244686  0.4891663 -0.1583099],[ 1.296149 -0.188164  0.437957]
80,[12.3600982  2.8706329  2.5567794  1.4087362  0.324488   0.4891233 -0.1582983],[ 1.296058 -0.188705  0.437959]
81,[12.3479396  2.8705997  2.5567646  1.4087305  0.3244885  0.4891122 -0.1583121],[ 1.295567 -0.191405  0.43799 ]
82,[12.344842   2.8706169  2.5567939  1.4086199  0.3245231  0.489119  -0.1583471],[ 1.295472 -0.191978  0.437997]
83,[12.3326011  2.8706353  2.5568297  1.4087658  0.3244683  0.4891238 -0.1583043],[ 1.294952 -0.194758  0.43801 ]
84,[12.3296052  2.8706646  2.5568335  1.4087543  0.3244651  0.4890562 -0.1582931],[ 1.294833 -0.195314  0.438009]
85,[12.3174156  2.8706748  2.5568099  1.4086971  0.324442   0.4890148 -0.1583012],[ 1.294266 -0.198069  0.438046]
86,[12.3143511  2.8706634  2.5568211  1.408761   0.3244657  0.4891524 -0.158322 ],[ 1.294149 -0.198603  0.438083]
87,[12.3022965  2.870661   2.5568449  1.4086914  0.3244551  0.4891396 -0.1583545],[ 1.293547 -0.2013    0.438092]
88,[12.2994085  2.870635   2.5568357  1.4086971  0.3245054  0.4890896 -0.1583225],[ 1.293414 -0.201828  0.438093]
89,[12.28731    2.8706505  2.5568204  1.408638   0.324494   0.4891095 -0.1582582],[ 1.292786 -0.204562  0.438105]
90,[12.284189   2.8706229  2.5568442  1.4086857  0.3244796  0.4891175 -0.1583349],[ 1.29265  -0.205102  0.438119]
91,[12.2720991  2.8706493  2.5568273  1.4086227  0.3245071  0.4890759 -0.1583166],[ 1.291933 -0.207851  0.438147]
92,[12.2691759  2.8706248  2.5568233  1.4086885  0.3244328  0.4891019 -0.1583373],[ 1.2918   -0.208394  0.438148]
93,[12.2570807  2.8706522  2.5568388  1.4086914  0.3244967  0.4890956 -0.1583406],[ 1.29134  -0.210017  0.438187]
94,[12.254082   2.8706398  2.5568068  1.4087677  0.3244502  0.4891245 -0.1582961],[ 1.290904 -0.211614  0.4382  ]
95,[12.24252    2.8706217  2.5568247  1.4087048  0.3244902  0.4890813 -0.1583833],[ 1.290158 -0.21423   0.438209]
96,[12.2395543  2.8706396  2.556937   1.4087248  0.3244647  0.4891118 -0.1583108],[ 1.290003 -0.214752  0.438201]
97,[12.2279038  2.8706763  2.5567558  1.4087534  0.3244982  0.4890788 -0.1583067],[ 1.289223 -0.21735   0.438255]
98,[12.2250061  2.870595   2.5568085  1.4087687  0.3244887  0.4891505 -0.1582717],[ 1.289044 -0.217876  0.438265]
99,[12.2130191  2.8705983  2.5567622  1.4087381  0.3244624  0.4891163 -0.158307 ],[ 1.288221 -0.22051   0.43828 ]
100,[12.2099074  2.8706758  2.5568018  1.4087439  0.3245152  0.4891351 -0.1582786],[ 1.288055 -0.221054  0.438278]
101,[12.1977754  2.8706167  2.5568109  1.4087677  0.324487   0.48914   -0.1583646],[ 1.287118 -0.223728  0.438307]
102,[12.194823   2.870609   2.5568221  1.4086781  0.3244063  0.4891207 -0.1582958],[ 1.286951 -0.224277  0.438318]
103,[12.1826664  2.8706164  2.5568218  1.4087553  0.3243976  0.4890714 -0.1582741],[ 1.285886 -0.226972  0.438341]
104,[12.1796646  2.8706374  2.556767   1.4087057  0.3244795  0.4890536 -0.1583828],[ 1.285695 -0.227492  0.438346]
105,[12.1672929  2.8705862  2.5567672  1.4086781  0.3244601  0.4891223 -0.1583213],[ 1.284712 -0.230193  0.438358]
106,[12.1641983  2.8706579  2.5568392  1.4087524  0.3244773  0.4891264 -0.158256 ],[ 1.284509 -0.230742  0.438371]
107,[12.1519477  2.8706286  2.5568633  1.4087448  0.3244821  0.4890816 -0.1583553],[ 1.283445 -0.233433  0.438398]
108,[12.1489268  2.8706343  2.5568278  1.4087143  0.3244297  0.4891093 -0.1582902],[ 1.283223 -0.233956  0.438413]
109,[12.1370218  2.8706384  2.5568051  1.408761   0.3245132  0.4891026 -0.1583081],[ 1.282051 -0.236543  0.438483]
110,[12.1340708  2.870666   2.5567887  1.4086914  0.3244666  0.4891375 -0.1583223],[ 1.281963 -0.237063  0.438445]
111,[12.122447   2.8706617  2.556833   1.4087172  0.3244542  0.4891317 -0.1582679],[ 1.280921 -0.239594  0.438459]
112,[12.1196438  2.8706143  2.5568535  1.4087839  0.3244618  0.4890926 -0.1583173],[ 1.280585 -0.240067  0.438529]
113,[12.1079619  2.8706517  2.5567744  1.4087286  0.3244649  0.4891333 -0.1583296],[ 1.279631 -0.24256   0.43848 ]
114,[12.1049698  2.8706324  2.556814   1.4087372  0.3245016  0.4891128 -0.1583313],[ 1.279385 -0.243047  0.438503]
115,[12.0931405  2.8706527  2.5567863  1.40872    0.3245466  0.4891023 -0.1583046],[ 1.278216 -0.245583  0.438524]
116,[12.0901916  2.870713   2.5567913  1.4087286  0.3244551  0.4890752 -0.1583163],[ 1.278001 -0.246102  0.438526]
