id,joint_position,m6
0,[-1.6654283  1.7208675  2.6947119  2.3362744  0.9264865 -0.9576339 -0.597659 ],[-0.188172 -0.162661  0.323996]
1,[-1.6606591  1.7208465  2.6947784  2.3360846  0.9265385 -0.9577104 -0.5976991],[-0.187377 -0.163328  0.323972]
2,[-1.6353528  1.7209113  2.6949601  2.3360054  0.9267068 -0.9576598 -0.5976356],[-0.182055 -0.167427  0.323851]
3,[-1.6132286  1.720856   2.6948605  2.336045   0.9266343 -0.9576213 -0.5976561],[-0.177063 -0.17087   0.323898]
4,[-1.6077478  1.7208255  2.6949391  2.3361399  0.9266391 -0.9575998 -0.5976653],[-0.176014 -0.171608  0.323925]
5,[-1.579869   1.7207931  2.6944826  2.3360417  0.9264717 -0.9576215 -0.5977151],[-0.169537 -0.175898  0.324032]
6,[-1.5742576  1.7207931  2.6944315  2.3360376  0.9264121 -0.9575456 -0.597631 ],[-0.168498 -0.176594  0.324088]
7,[-1.5578582  1.720753   2.6941919  2.3360584  0.9264951 -0.9575701 -0.5977293],[-0.164274 -0.17926   0.324157]
8,[-1.5523266  1.720816   2.6942456  2.3361335  0.9262786 -0.9576079 -0.5976954],[-0.163205 -0.179881  0.324207]
9,[-1.5471088  1.7207797  2.6941874  2.3361278  0.9263358 -0.9575674 -0.5977371],[-0.16214  -0.180528  0.324206]
10,[-1.5266876  1.7208484  2.6940877  2.3361545  0.9263411 -0.957578  -0.5976787],[-0.15702  -0.183516  0.324214]
11,[-1.5218283  1.720795   2.6940994  2.3360326  0.9262333 -0.9575179 -0.5976256],[-0.156065 -0.184051  0.324194]
12,[-1.503309   1.7207835  2.6941385  2.3359809  0.926167  -0.9575278 -0.5977045],[-0.151261 -0.186659  0.324116]
13,[-1.4862086  1.7207511  2.694412   2.3360009  0.9261985 -0.9575639 -0.5976665],[-0.146927 -0.188933  0.324045]
14,[-1.4821203  1.7208293  2.694402   2.3360274  0.9262495 -0.9574863 -0.5976486],[-0.146051 -0.189367  0.32403 ]
15,[-1.478139   1.7208121  2.6944494  2.3360255  0.9262071 -0.9575549 -0.597665 ],[-0.144968 -0.189829  0.324196]
16,[-1.4660534  1.7208274  2.6944163  2.3360286  0.9262033 -0.9575481 -0.5975417],[-0.141764 -0.191468  0.324176]
17,[-1.4620413  1.7208541  2.6945491  2.3360655  0.9261861 -0.9575688 -0.5976407],[-0.140968 -0.191867  0.324192]
18,[-1.4425999  1.7207931  2.6944513  2.3360806  0.9262271 -0.957518  -0.5977283],[-0.136254 -0.194082  0.324224]
19,[-1.4385681  1.7206977  2.6944809  2.3361332  0.9262347 -0.9575592 -0.5976088],[-0.135484 -0.194433  0.324223]
20,[-1.4272579  1.7208541  2.6943903  2.3361707  0.9263482 -0.9575482 -0.5976578],[-0.132309 -0.19588   0.324187]
21,[-1.4233881  1.720816   2.6944551  2.3360808  0.9262767 -0.9575695 -0.5976483],[-0.131534 -0.196219  0.324205]
22,[-1.40877    1.720835   2.6944456  2.3360083  0.9262443 -0.9575376 -0.5976909],[-0.12752  -0.197932  0.324145]
23,[-1.4050214  1.7207778  2.6944199  2.336077   0.9262314 -0.9575818 -0.5976303],[-0.126747 -0.198237  0.324155]
24,[-1.4015238  1.7208102  2.6943903  2.3360765  0.9262714 -0.9575648 -0.5976542],[-0.125985 -0.198542  0.324159]
25,[-1.3912886  1.7208541  2.6943352  2.3361437  0.9262557 -0.9576068 -0.5977563],[-0.123071 -0.199777  0.324157]
26,[-1.3877293  1.720795   2.6944191  2.3360527  0.9262428 -0.9576067 -0.5976626],[-0.122264 -0.200058  0.324128]
27,[-1.3844457  1.7207168  2.6943486  2.3360987  0.9261227 -0.9575616 -0.5976743],[-0.121534 -0.200356  0.324138]
28,[-1.3749647  1.7207721  2.6943719  2.3360083  0.9261961 -0.9575226 -0.5976763],[-0.118883 -0.201401  0.324152]
29,[-1.3719649  1.7208446  2.6943839  2.3360584  0.9262371 -0.9575331 -0.5977085],[-0.118239 -0.20163   0.324165]
30,[-1.3580101  1.7208045  2.6943109  2.3360195  0.9261365 -0.9575724 -0.5976653],[-0.114553 -0.202979  0.324128]
31,[-1.3552412  1.720816   2.6943297  2.3361056  0.9261022 -0.9574896 -0.5976474],[-0.114032 -0.203183  0.324156]
32,[-1.3454064  1.7207626  2.6943285  2.3360415  0.9262066 -0.9575556 -0.5976444],[-0.111375 -0.204088  0.324115]
33,[-1.3367797  1.7207244  2.6942952  2.3359666  0.9262137 -0.9575749 -0.5976963],[-0.10902  -0.204905  0.324105]
34,[-1.3347082  1.7208179  2.6944113  2.3360882  0.9261241 -0.9575304 -0.5976771],[-0.108576 -0.205051  0.324107]
35,[-1.3327222  1.7208503  2.6944091  2.335989   0.9260778 -0.9575627 -0.5977097],[-0.108089 -0.205201  0.324086]
36,[-1.3257141  1.7208045  2.6943407  2.3360734  0.9261575 -0.9575467 -0.5977085],[-0.106195 -0.205848  0.32409 ]
37,[-1.3196305  1.7208045  2.6943371  2.3359883  0.9261994 -0.9575323 -0.5976418],[-0.10452  -0.20638   0.324087]
38,[-1.3182807  1.7207568  2.6944416  2.3361754  0.926085  -0.9575361 -0.5976654],[-0.104239 -0.206477  0.324089]
39,[-1.3122114  1.7207645  2.6943178  2.3360627  0.9261632 -0.9574832 -0.5976753],[-0.102597 -0.206997  0.324078]
40,[-1.3082719  1.7208198  2.6943252  2.3360834  0.9260907 -0.9575382 -0.5976781],[-0.101428 -0.207345  0.324067]
41,[-1.3074619  1.7209151  2.6944587  2.33602    0.9261966 -0.9575241 -0.5977069],[-0.101237 -0.207395  0.324051]
42,[-1.3047982  1.720795   2.6944313  2.3360243  0.9261484 -0.9575702 -0.5976815],[-0.100495 -0.207626  0.324075]
43,[-1.3042061  1.7208141  2.6943479  2.3359973  0.9261909 -0.9575184 -0.5976913],[-0.100342 -0.207661  0.324066]
44,[-1.3037541  1.7208198  2.6943667  2.3361034  0.9261799 -0.9574843 -0.5976601],[-0.100185 -0.207708  0.32406 ]
45,[-1.3027174  1.7208121  2.6943362  2.3360548  0.9261274 -0.9575144 -0.5976422],[-0.099848 -0.207824  0.324073]
46,[-1.3025992  1.7208312  2.694396   2.3359885  0.9260731 -0.9575154 -0.5976033],[-0.099826 -0.207827  0.324076]
47,[-1.3026865  1.720816   2.6943593  2.3360026  0.9261999 -0.9575173 -0.5976791],[-0.099868 -0.207816  0.324084]
48,[-1.3034337  1.7208503  2.6945     2.3359942  0.926167  -0.9575673 -0.5976479],[-0.100119 -0.207737  0.324046]
49,[-1.3048196  1.720856   2.694433   2.3359656  0.9263692 -0.9575461 -0.5976977],[-0.100589 -0.207616  0.324029]
50,[-1.3055304  1.7208236  2.6944308  2.3361042  0.9260893 -0.9575052 -0.5976296],[-0.100667 -0.207586  0.324031]
51,[-1.3061     1.7207492  2.6943762  2.3361931  0.9260192 -0.9575144 -0.5976945],[-0.100725 -0.207524  0.324042]
52,[-1.308133   1.7207893  2.6943753  2.3359644  0.9261861 -0.9574844 -0.5977166],[-0.101291 -0.207411  0.324032]
53,[-1.3089801  1.7208026  2.6944373  2.3359938  0.9260845 -0.957473  -0.5977046],[-0.101423 -0.207353  0.324047]
54,[-1.3143804  1.7208388  2.6944165  2.3360989  0.9260044 -0.9574689 -0.5976977],[-0.102825 -0.206936  0.324076]
55,[-1.3220543  1.7207378  2.6943867  2.336015   0.9260187 -0.9574643 -0.5977051],[-0.104818 -0.206306  0.324107]
56,[-1.3237803  1.7207225  2.6943605  2.3360634  0.9260473 -0.9575379 -0.5976097],[-0.105186 -0.206187  0.324114]
57,[-1.3291023  1.7208064  2.6943443  2.336097   0.9260874 -0.957498  -0.5976997],[-0.106834 -0.205649  0.32412 ]
58,[-1.3310881  1.7208903  2.6943805  2.336062   0.9260135 -0.9575022 -0.5976548],[-0.107203 -0.205534  0.324087]
59,[-1.3413495  1.7208274  2.6945014  2.3360245  0.9260798 -0.9574209 -0.5977472],[-0.109929 -0.204604  0.324102]
60,[-1.3436376  1.7208217  2.6944072  2.3359842  0.9260259 -0.9575016 -0.5976594],[-0.110459 -0.204446  0.324093]
61,[-1.3529603  1.7208465  2.694416   2.3360512  0.9261637 -0.9575039 -0.5976398],[-0.112819 -0.203634  0.324084]
62,[-1.355383   1.7208083  2.6944039  2.3360355  0.9260983 -0.9574276 -0.5976642],[-0.113337 -0.203455  0.324089]
63,[-1.3626437  1.7207683  2.6944327  2.3361063  0.9260159 -0.9574552 -0.597652 ],[-0.115462 -0.20269   0.324091]
64,[-1.3652341  1.7208427  2.6944017  2.3360119  0.926012  -0.9573939 -0.597628 ],[-0.115938 -0.202494  0.324085]
65,[-1.3679562  1.7207111  2.6944783  2.3359499  0.9260516 -0.9574271 -0.5976979],[-0.116492 -0.202276  0.324104]
66,[-1.3729143  1.7207797  2.6943724  2.3360538  0.9260421 -0.9573994 -0.5976955],[-0.118372 -0.20161   0.324152]
67,[-1.375622   1.720753   2.6943789  2.3359966  0.9260302 -0.9573854 -0.5976821],[-0.11904  -0.201351  0.324168]
68,[-1.3784356  1.7208064  2.6943421  2.335973   0.9260859 -0.9574866 -0.5976701],[-0.119693 -0.201127  0.324167]
69,[-1.3903741  1.7208121  2.6943738  2.3359964  0.9260674 -0.9573711 -0.5976585],[-0.123041 -0.199813  0.324185]
70,[-1.3936806  1.7207091  2.6944745  2.3360093  0.9260254 -0.9574141 -0.5977067],[-0.123725 -0.19953   0.324188]
71,[-1.4072276  1.7207721  2.6944032  2.3359842  0.9261045 -0.9574063 -0.5977243],[-0.127238 -0.198103  0.324179]
72,[-1.4108528  1.7207282  2.6944242  2.336128   0.9260831 -0.9574203 -0.59769  ],[-0.127936 -0.197781  0.324174]
73,[-1.4142524  1.7208522  2.6944158  2.3359797  0.926127  -0.9573813 -0.5977311],[-0.128677 -0.197474  0.324163]
74,[-1.4256294  1.7207778  2.6943884  2.3360481  0.9260211 -0.9573691 -0.5976665],[-0.131638 -0.196189  0.324183]
75,[-1.4295185  1.7208369  2.6942959  2.3360066  0.9259839 -0.957368  -0.5977069],[-0.1324  -0.19584  0.32418]
76,[-1.4335731  1.7208312  2.6943698  2.3360212  0.9260378 -0.9574034 -0.5977429],[-0.133235 -0.195485  0.324196]
77,[-1.4461399  1.7208484  2.6943398  2.3360605  0.9259195 -0.9573205 -0.5977135],[-0.136599 -0.193965  0.324238]
78,[-1.4506625  1.720753   2.6943023  2.3360081  0.925951  -0.9573084 -0.5976663],[-0.137556 -0.193539  0.324266]
79,[-1.4551648  1.7207339  2.6943073  2.3359919  0.9259963 -0.9573011 -0.5976834],[-0.138405 -0.193113  0.324243]
80,[-1.4736401  1.7208369  2.6942859  2.3360651  0.9260931 -0.9573175 -0.5976593],[-0.143138 -0.190829  0.324299]
81,[-1.493332   1.7207874  2.6943581  2.3360682  0.9261432 -0.9573271 -0.5976536],[-0.148106 -0.188332  0.32429 ]
82,[-1.4982055  1.7207549  2.6943951  2.3361437  0.9260764 -0.9573541 -0.5976992],[-0.149033 -0.187846  0.324266]
83,[-1.5031615  1.7208045  2.6943333  2.3360562  0.9261408 -0.9573412 -0.5976455],[-0.150063 -0.187293  0.324269]
84,[-1.5232806  1.7208827  2.6944981  2.3360322  0.9261045 -0.9573322 -0.5977397],[-0.154935 -0.184647  0.324201]
85,[-1.5282799  1.7208007  2.6945341  2.3361282  0.9261856 -0.9573628 -0.5977457],[-0.155963 -0.184069  0.324221]
86,[-1.5433085  1.7208026  2.6945052  2.3360491  0.9260468 -0.9573398 -0.5977277],[-0.15989  -0.181827  0.324211]
87,[-1.5482156  1.7207645  2.6945443  2.3359585  0.9261417 -0.9573039 -0.5976914],[-0.160913 -0.181223  0.324208]
88,[-1.5533044  1.7207549  2.6945026  2.3360689  0.9261208 -0.957358  -0.5976641],[-0.161874 -0.180665  0.324194]
89,[-1.5736762  1.7208694  2.6944177  2.3359029  0.9261522 -0.9573379 -0.5976764],[-0.167049 -0.177537  0.324026]
90,[-1.5948462  1.7207816  2.694478   2.3361213  0.9260149 -0.9573375 -0.5976751],[-0.172007 -0.174351  0.324048]
91,[-1.6001735  1.7207282  2.6944156  2.336112   0.9260278 -0.957306  -0.5977134],[-0.17301  -0.173699  0.324077]
92,[-1.6271166  1.7207435  2.6944089  2.3360207  0.9261289 -0.9572574 -0.5976897],[-0.179001 -0.169572  0.324048]
93,[-1.6550545  1.7208236  2.6943667  2.3359091  0.9262319 -0.9572785 -0.5976413],[-0.185097 -0.165116  0.324034]
94,[-1.6782968  1.7208331  2.6943657  2.3360419  0.9261146 -0.9572762 -0.5977288],[-0.190314 -0.161155  0.324011]
95,[-1.6841404  1.7208656  2.6944094  2.3359215  0.9261422 -0.9573374 -0.5976481],[-0.191349 -0.160332  0.324017]
96,[-1.6899036  1.7208312  2.6944377  2.3360188  0.9260907 -0.9572601 -0.5976655],[-0.192436 -0.15952   0.323984]
97,[-1.7074128  1.7207816  2.6945074  2.3359947  0.9261718 -0.957289  -0.5976548],[-0.196504 -0.156159  0.323965]
98,[-1.7133473  1.720774   2.6944828  2.335983   0.9261503 -0.9572583 -0.5976691],[-0.197548 -0.155305  0.323961]
99,[-1.7371641  1.7207721  2.6944017  2.3361003  0.9261246 -0.9573147 -0.5977362],[-0.202583 -0.15096   0.323956]
100,[-1.7431414  1.7207206  2.6944015  2.3360269  0.9261761 -0.9572466 -0.5977188],[-0.203594 -0.150079  0.323956]
101,[-1.749054   1.7207683  2.6944039  2.3360212  0.9262443 -0.9572639 -0.597715 ],[-0.204659 -0.149194  0.323979]
102,[-1.7732643  1.7208732  2.6944227  2.33601    0.9261661 -0.9572402 -0.59766  ],[-0.20964  -0.144563  0.323956]
103,[-1.7973744  1.7207912  2.6944065  2.3360608  0.9261065 -0.957216  -0.5977054],[-0.214653 -0.139696  0.323927]
104,[-1.8035207  1.7207034  2.6944022  2.3361185  0.9262161 -0.9572058 -0.5977742],[-0.21567  -0.138704  0.323905]
105,[-1.828113   1.7208217  2.694427   2.3360262  0.9263768 -0.957149  -0.5976981],[-0.220677 -0.13358   0.323902]
106,[-1.8341674  1.720795   2.6943772  2.3360503  0.9263968 -0.9572704 -0.5977309],[-0.221653 -0.132554  0.323884]
107,[-1.8402289  1.7207797  2.6944482  2.3360345  0.9264712 -0.957225  -0.5977103],[-0.222504 -0.131529  0.323846]
108,[-1.8653058  1.7208293  2.6944122  2.3360088  0.9263835 -0.9572358 -0.5976905],[-0.227286 -0.126274  0.323806]
109,[-1.8902555  1.7207454  2.6943231  2.3359911  0.9263458 -0.9572529 -0.597655 ],[-0.23194 -0.12088  0.32379]
110,[-1.8965982  1.7207835  2.694437   2.3360116  0.9264226 -0.9572234 -0.5976451],[-0.232877 -0.119722  0.323764]
111,[-1.9030408  1.7208007  2.6945105  2.3360326  0.9264145 -0.9572466 -0.597752 ],[-0.233855 -0.118607  0.32379 ]
112,[-1.9220954  1.7208236  2.6944544  2.3360829  0.9264355 -0.9571466 -0.5977398],[-0.237486 -0.113993  0.323775]
113,[-1.9284884  1.7207969  2.6943905  2.3359475  0.9263706 -0.9571536 -0.5977549],[-0.238345 -0.112868  0.323773]
114,[-1.9604357  1.7208446  2.6944666  2.3360581  0.9264674 -0.9572212 -0.5976999],[-0.243713 -0.105744  0.323724]
115,[-1.9667153  1.7207664  2.6943972  2.3360744  0.9265518 -0.9571649 -0.5977569],[-0.244695 -0.104561  0.32342 ]
116,[-1.9920014  1.7209056  2.6944747  2.3360233  0.9265184 -0.9572129 -0.5976539],[-0.248822 -0.098563  0.323349]
117,[-2.0174694  1.7207797  2.6945307  2.3359747  0.9264731 -0.9571842 -0.5976878],[-0.252711 -0.092543  0.323249]
118,[-2.0238342  1.7208255  2.694531   2.3360169  0.9265375 -0.9571689 -0.5977026],[-0.253474 -0.091323  0.32325 ]
119,[-2.0301683  1.7207587  2.6945274  2.33602    0.9265165 -0.957182  -0.5976529],[-0.254209 -0.090109  0.323214]
120,[-2.0551913  1.7208598  2.6945271  2.3360627  0.926548  -0.9571757 -0.5977191],[-0.257999 -0.083972  0.323233]
121,[-2.086129   1.7207931  2.6944437  2.3360691  0.9265256 -0.9571834 -0.5976702],[-0.262144 -0.076509  0.323156]
122,[-2.0922422  1.7208312  2.6944354  2.3360076  0.926518  -0.9571695 -0.5977259],[-0.262821 -0.075281  0.323148]
123,[-2.1105006  1.7209399  2.6945372  2.3360438  0.9266791 -0.9571932 -0.5976985],[-0.265361 -0.070336  0.323102]
124,[-2.1165056  1.7208369  2.6945214  2.3359942  0.9266434 -0.9571784 -0.5976642],[-0.265977 -0.069084  0.323055]
125,[-2.1224306  1.7207606  2.6944885  2.3361118  0.9266591 -0.9572084 -0.597687 ],[-0.266577 -0.06783   0.323001]
126,[-2.1463768  1.7207893  2.6945322  2.3360643  0.9267411 -0.9571667 -0.5977104],[-0.269536 -0.061609  0.323194]
127,[-2.152416   1.7208884  2.694531   2.3361287  0.9266772 -0.9572173 -0.597603 ],[-0.270122 -0.060389  0.323152]
128,[-2.1758761  1.7208827  2.6945713  2.3360906  0.9266248 -0.9571552 -0.5976815],[-0.27286  -0.054233  0.323118]
129,[-2.1817615  1.7207893  2.6945148  2.3360491  0.9266334 -0.9571913 -0.5976679],[-0.273409 -0.052986  0.323091]
130,[-2.204972   1.7207664  2.6945324  2.3361528  0.9266901 -0.9571356 -0.5976918],[-0.275919 -0.046901  0.323059]
131,[-2.2108438  1.7208446  2.6944919  2.336096   0.9267569 -0.9571522 -0.5977284],[-0.276305 -0.04569   0.323085]
132,[-2.2281332  1.7207816  2.6945391  2.3360062  0.9267955 -0.9571646 -0.5976683],[-0.278069 -0.040891  0.322993]
133,[-2.2336323  1.7208827  2.6945424  2.3360717  0.9268923 -0.957137  -0.5977171],[-0.278543 -0.039674  0.323045]
134,[-2.2609248  1.7208827  2.6945257  2.3360348  0.926847  -0.9571268 -0.5976892],[-0.281033 -0.032472  0.322966]
135,[-2.2818625  1.7207988  2.6945648  2.3360448  0.9269152 -0.9571728 -0.5976456],[-0.282858 -0.026678  0.322849]
136,[-2.2870359  1.7208026  2.694618   2.3360124  0.9268999 -0.9572217 -0.5977885],[-0.283227 -0.025543  0.322828]
137,[-2.2921729  1.7208484  2.6946428  2.3359723  0.9270225 -0.9571554 -0.597635 ],[-0.283585 -0.024401  0.3228  ]
138,[-2.3119497  1.7207854  2.6946313  2.336045   0.9270248 -0.9572122 -0.5977241],[-0.285231 -0.018902  0.322737]
139,[-2.3312752  1.7208369  2.6946666  2.3360999  0.92695   -0.9571667 -0.5976991],[-0.286618 -0.013628  0.322682]
140,[-2.3358541  1.7207969  2.694654   2.3361199  0.9270015 -0.957153  -0.597623 ],[-0.286863 -0.012585  0.322663]
141,[-2.3404837  1.7208255  2.6946857  2.335875   0.9270148 -0.9571094 -0.597645 ],[-0.287189 -0.011525  0.322659]
142,[-2.3583863  1.7208083  2.6946342  2.3359859  0.927021  -0.9571235 -0.5978023],[-0.288418 -0.00644   0.322652]
143,[-2.3627734  1.7208827  2.6946235  2.3360524  0.9270296 -0.9571231 -0.5977418],[-0.28864  -0.005415  0.322649]
144,[-2.3760808  1.7208522  2.694643   2.3360078  0.9270954 -0.957112  -0.5977462],[-0.289453 -0.00141   0.32264 ]
