id,joint_position,m6
0,[-2.5310359  1.6768878  1.987322   0.1453882  0.918509   0.0101213 -0.4335782],[1.03846  0.425753 0.115078]
1,[-2.5318584  1.6752875  1.9858474  0.1452202  0.9172463  0.0106046 -0.433584 ],[1.038143 0.425644 0.11506 ]
2,[-2.5353882  1.667744   1.9810377  0.1453467  0.9076076  0.0142043 -0.4335751],[1.037272 0.424692 0.113611]
3,[-2.5402689  1.6601089  1.9784493  0.1450879  0.8967524  0.0203976 -0.4335067],[1.037503 0.424371 0.110513]
4,[-2.5416188  1.6582721  1.9776903  0.1447496  0.8942113  0.0219583 -0.4335659],[1.037626 0.424424 0.109827]
5,[-2.5431769  1.6565288  1.9769559  0.1443425  0.8914485  0.023637  -0.4335851],[1.037765 0.424484 0.109188]
6,[-2.5505049  1.6499026  1.9727873  0.1433326  0.8791518  0.0309857 -0.4335713],[1.037788 0.425034 0.106712]
7,[-2.5605097  1.6425555  1.9634415  0.1402368  0.8701758  0.0388391 -0.4335575],[1.036206 0.426564 0.106058]
8,[-2.5625012  1.6410735  1.9609029  0.1391702  0.8688841  0.0404447 -0.4335759],[1.035782 0.426862 0.106139]
9,[-2.5702944  1.6348804  1.9496877  0.1357097  0.863308   0.0455228 -0.4335176],[1.033149 0.428034 0.107253]
10,[-2.5785508  1.6269782  1.9369469  0.134641   0.8605843  0.0525709 -0.4335495],[1.029481 0.429098 0.108681]
11,[-2.5798633  1.6252673  1.934695   0.1346678  0.8601222  0.0541187 -0.4335662],[1.028904 0.429263 0.108839]
12,[-2.5834486  1.6195663  1.9282418  0.1347197  0.8572183  0.0573307 -0.4335212],[1.026915 0.429369 0.108942]
13,[-2.5845044  1.6174968  1.9262025  0.1347662  0.8560667  0.0583947 -0.4334989],[1.026475 0.429296 0.108899]
14,[-2.5882025  1.6094421  1.9189417  0.1349322  0.8496571  0.0637431 -0.4335565],[1.024855 0.428672 0.107835]
15,[-2.5892415  1.6072925  1.9172372  0.1347592  0.8479195  0.0651486 -0.4336121],[1.024654 0.428507 0.107579]
16,[-2.5940208  1.5967162  1.9085356  0.1343821  0.8355799  0.0733509 -0.4335024],[1.023707 0.427169 0.105741]
17,[-2.5954883  1.5944236  1.9064631  0.134016   0.833005   0.0752752 -0.4334933],[1.02352  0.426927 0.10542 ]
18,[-2.6009176  1.5849384  1.8979053  0.1336574  0.8223815  0.0816505 -0.4335698],[1.022293 0.425993 0.103972]
19,[-2.6027575  1.5824721  1.895576   0.133821   0.8196754  0.0832442 -0.4336133],[1.021898 0.425904 0.103775]
20,[-2.6104655  1.5722507  1.886043   0.133826   0.8093305  0.0902623 -0.4335206],[1.019797 0.426023 0.102639]
21,[-2.6128418  1.5696052  1.8835388  0.133832   0.8067679  0.0920576 -0.4335538],[1.019272 0.426141 0.102447]
22,[-2.6201541  1.5611652  1.8760977  0.1338387  0.799695   0.0974116 -0.4335245],[1.017222 0.427141 0.101272]
23,[-2.6223965  1.5583881  1.8737545  0.1339754  0.7972517  0.0990205 -0.4336449],[1.016671 0.427438 0.101011]
24,[-2.6327827  1.5456718  1.8631277  0.1336479  0.785831   0.1048242 -0.4335203],[1.013989 0.428962 0.099036]
25,[-2.6355579  1.542065   1.8604928  0.1336441  0.7827334  0.1062726 -0.4334699],[1.013408 0.42922  0.098555]
26,[-2.6386693  1.5385574  1.8575468  0.1338416  0.7795448  0.1079085 -0.4334819],[1.012776 0.429446 0.098074]
27,[-2.6463768  1.5267909  1.8487428  0.1339014  0.7692671  0.1122879 -0.4332981],[1.010445 0.430222 0.095834]
28,[-2.6607862  1.5035194  1.8321829  0.1356467  0.7534661  0.1209179 -0.4301161],[1.006076 0.431786 0.09146 ]
29,[-2.662926   1.4998115  1.8294668  0.1355187  0.7507601  0.1224477 -0.4293023],[1.005593 0.431951 0.090819]
30,[-2.6697698  1.488045   1.8199602  0.133945   0.7404647  0.1268387 -0.4272112],[1.003715 0.432548 0.088386]
31,[-2.6719995  1.4839957  1.8167119  0.1337985  0.7365022  0.1285405 -0.426742 ],[1.003203 0.432561 0.087786]
32,[-2.6744537  1.4799274  1.8132877  0.1339822  0.7320886  0.1302772 -0.4262119],[1.002653 0.432525 0.087245]
33,[-2.6786492  1.4714988  1.8063579  0.1346585  0.7229428  0.1336977 -0.4251419],[1.000805 0.4321   0.085759]
34,[-2.6808271  1.4672855  1.8028727  0.1348255  0.7185922  0.135377  -0.4245408],[1.000192 0.431962 0.08523 ]
35,[-2.6829031  1.463198   1.799554   0.1348155  0.7146411  0.1366208 -0.4239708],[0.999681 0.431858 0.084726]
36,[-2.6907127  1.44747    1.7869008  0.1363338  0.7016187  0.142355  -0.4196529],[0.996401 0.431717 0.082367]
37,[-2.694931   1.4392665  1.7800883  0.1357165  0.6946125  0.1454404 -0.4166483],[0.995407 0.431726 0.081258]
38,[-2.6993308  1.4302905  1.773214   0.135236   0.6856637  0.148336  -0.4140919],[0.993908 0.431508 0.079379]
39,[-2.7040515  1.4203189  1.7649112  0.1353308  0.6752896  0.1508851 -0.4117511],[0.992701 0.43117  0.078041]
40,[-2.7140076  1.3995765  1.7484479  0.1359371  0.6571994  0.1553471 -0.4058638],[0.988974 0.430892 0.074429]
41,[-2.7164643  1.3947108  1.7445645  0.1361812  0.6538615  0.1562793 -0.404302 ],[0.988101 0.431016 0.07372 ]
42,[-2.7191129  1.3898376  1.7410994  0.1363964  0.6508751  0.1571658 -0.4029074],[0.987225 0.431215 0.072896]
43,[-2.7295301  1.370499   1.7255921  0.1365542  0.6400504  0.157917  -0.3981348],[0.982729 0.433024 0.069402]
44,[-2.7403061  1.3519748  1.7106287  0.1364285  0.6288233  0.1606045 -0.3918715],[0.978352 0.434998 0.066165]
45,[-2.7428079  1.3475421  1.7066303  0.1364473  0.6260819  0.1614362 -0.3906683],[0.97744  0.435384 0.0655  ]
46,[-2.7455637  1.3432182  1.702868   0.1366637  0.6234393  0.1620859 -0.38953  ],[0.976592 0.4358   0.064895]
47,[-2.7552161  1.3265994  1.6885436  0.1376349  0.6126595  0.1661988 -0.3834476],[0.972342 0.437547 0.061971]
48,[-2.7645016  1.3122199  1.6757982  0.138181   0.6014342  0.1711868 -0.3772023],[0.968951 0.43909  0.059552]
49,[-2.7667859  1.309006   1.6726464  0.1381585  0.5981698  0.1723622 -0.3757206],[0.968436 0.439407 0.059088]
50,[-2.7779522  1.2918723  1.6557245  0.1375843  0.5764623  0.1804817 -0.3672011],[0.9654   0.440093 0.056887]
51,[-2.7802286  1.2882064  1.6514961  0.1377262  0.5715704  0.1826265 -0.3658906],[0.964918 0.440025 0.05653 ]
52,[-2.7879803  1.273867   1.6379734  0.1390995  0.5552359  0.1912696 -0.359624 ],[0.962309 0.439944 0.05424 ]
53,[-2.7950819  1.2615169  1.6285489  0.1424261  0.5465384  0.1981019 -0.3537847],[0.959758 0.441012 0.051509]
54,[-2.7967737  1.2586559  1.6265243  0.1434383  0.5440803  0.1997178 -0.3523617],[0.959297 0.441249 0.050865]
55,[-2.7985611  1.2557147  1.6246319  0.1445807  0.5410767  0.2015939 -0.3508019],[0.958937 0.441414 0.050389]
56,[-2.8049142  1.2444633  1.6168988  0.1495742  0.5279918  0.209921  -0.3438248],[0.957458 0.441735 0.047188]
57,[-2.8109646  1.2334502  1.6099023  0.1564718  0.513288   0.2204287 -0.3371518],[0.956058 0.441596 0.044008]
58,[-2.8123293  1.231026   1.6083336  0.1585107  0.509769   0.222663  -0.3353516],[0.955815 0.44155  0.043492]
59,[-2.8137331  1.2285064  1.606784   0.1615367  0.5058932  0.2253225 -0.333521 ],[0.955487 0.441534 0.042946]
60,[-2.8191874  1.2206462  1.6023377  0.1748722  0.4922509  0.2365783 -0.3274459],[0.953462 0.440866 0.041099]
61,[-2.8259065  1.2121242  1.597297   0.1937828  0.4741225  0.2516568 -0.3199978],[0.950888 0.439831 0.039672]
62,[-2.8272161  1.2103122  1.5960169  0.1976162  0.469902   0.2547139 -0.318955 ],[0.950415 0.439617 0.039507]
63,[-2.8325093  1.2031749  1.5914252  0.2137754  0.4554257  0.2682826 -0.3141534],[0.948084 0.438748 0.03822 ]
64,[-2.8392754  1.1937297  1.5884316  0.2343044  0.4419799  0.2842865 -0.3111072],[0.945583 0.438659 0.035638]
65,[-2.8455734  1.1836818  1.5865312  0.2543322  0.4323325  0.301525  -0.3111505],[0.943459 0.439253 0.031657]
66,[-2.8514533  1.1756824  1.5869771  0.2763889  0.4263396  0.3187638 -0.3113336],[0.941352 0.440242 0.027975]
67,[-2.8527439  1.1744426  1.587212   0.2813546  0.4251509  0.3220409 -0.311228 ],[0.941008 0.440379 0.02737 ]
68,[-2.8558302  1.1708091  1.5875976  0.2936241  0.421823   0.3321107 -0.3114585],[0.939531 0.440894 0.025535]
69,[-2.8568239  1.1697162  1.5876468  0.2980435  0.4204788  0.3356708 -0.311591 ],[0.939173 0.440986 0.025159]
70,[-2.8577609  1.1687701  1.5876303  0.3023822  0.4189873  0.3389457 -0.3117294],[0.938837 0.441091 0.024763]
71,[-2.8596115  1.1671413  1.5880035  0.3127636  0.4157963  0.3464459 -0.3117892],[0.937597 0.441059 0.024053]
72,[-2.8626072  1.1656211  1.5888261  0.3285291  0.4131675  0.35784   -0.3127755],[0.935639 0.441135 0.023516]
73,[-2.8632364  1.1651061  1.5888895  0.3325951  0.4129539  0.3614249 -0.3132921],[0.93506  0.441226 0.023572]
74,[-2.8656404  1.1643222  1.5890236  0.3474775  0.4119372  0.3726262 -0.3152375],[0.933405 0.441378 0.023613]
75,[-2.8664749  1.1643165  1.5894009  0.3540411  0.4115953  0.3767069 -0.3164373],[0.932675 0.441416 0.023818]
76,[-2.8691275  1.1642783  1.5908178  0.3766064  0.4115443  0.3918066 -0.3237729],[0.929196 0.441381 0.024597]
77,[-2.8714609  1.1645606  1.5941397  0.4006003  0.4117794  0.4058337 -0.3333921],[0.925941 0.441257 0.025538]
78,[-2.8719833  1.164677   1.595243   0.4063271  0.411715   0.4082847 -0.3359632],[0.925414 0.441199 0.025636]
79,[-2.872484   1.1647533  1.5965447  0.4125708  0.4117994  0.4109383 -0.3392607],[0.924848 0.441185 0.025768]
80,[-2.8744464  1.16482    1.6034069  0.4349706  0.4137545  0.4201849 -0.3557954],[0.922537 0.44159  0.025069]
81,[-2.8757708  1.1642364  1.6098294  0.4487368  0.4168882  0.4244866 -0.3711383],[0.921681 0.442369 0.023203]
82,[-2.875874   1.1641334  1.6114269  0.4516471  0.4172921  0.4246997 -0.3753013],[0.92148  0.442607 0.022474]
83,[-2.8765054  1.1642173  1.6173866  0.4619509  0.4170308  0.4251993 -0.3932593],[0.921356 0.442784 0.021571]
84,[-2.8765273  1.1642707  1.6186163  0.463944   0.4169993  0.425327  -0.3981856],[0.921366 0.442783 0.02139 ]
85,[-2.8765919  1.1645473  1.6200938  0.4667017  0.417089   0.4257027 -0.4067248],[0.921316 0.442795 0.021207]
86,[-2.8764877  1.1650928  1.6211807  0.4689418  0.4176679  0.4263643 -0.4152486],[0.921209 0.44278  0.021291]
87,[-2.8763444  1.1669944  1.6212797  0.47032    0.4220428  0.4273225 -0.4360847],[0.92035  0.442905 0.022442]
88,[-2.8764167  1.1675056  1.6211822  0.4704061  0.4234862  0.4272898 -0.440799 ],[0.920146 0.442932 0.022737]
89,[-2.8764284  1.1691936  1.6206174  0.4717776  0.4275475  0.4272971 -0.4562064],[0.918795 0.4432   0.024358]
90,[-2.8765044  1.1697009  1.6193442  0.4716314  0.4343228  0.4240701 -0.4957769],[0.917015 0.444119 0.025639]
91,[-2.8764234  1.1685489  1.6197364  0.4568466  0.439826   0.3952394 -0.5350901],[0.916573 0.446067 0.024954]
92,[-2.8763473  1.1686576  1.6194628  0.4534312  0.4398193  0.3916505 -0.5386509],[0.916683 0.446278 0.024967]
93,[-2.8762794  1.1684936  1.6165956  0.4374945  0.4396029  0.3767226 -0.5514286],[0.917472 0.447259 0.025446]
94,[-2.8761725  1.1685737  1.6117314  0.4211486  0.4398174  0.3643042 -0.5539249],[0.917931 0.447813 0.026594]
95,[-2.8761332  1.1687568  1.6104813  0.417769   0.4397783  0.3614058 -0.5539542],[0.917903 0.447907 0.026973]
96,[-2.8755209  1.1692928  1.6047541  0.4049872  0.4407845  0.3491834 -0.5539042],[0.917204 0.448027 0.029347]
97,[-2.8745127  1.1700214  1.6022235  0.4005635  0.4419956  0.3373859 -0.5539106],[0.915915 0.447323 0.031535]
98,[-2.8732364  1.1697467  1.6028098  0.4002377  0.4440355  0.3260752 -0.5538964],[0.914982 0.446497 0.032077]
99,[-2.8713977  1.1689113  1.604852   0.398581   0.4485831  0.3140929 -0.553917 ],[0.914719 0.44626  0.031223]
100,[-2.8709605  1.1686366  1.6051036  0.3973542  0.4493804  0.311615  -0.5538982],[0.914755 0.4463   0.031021]
101,[-2.8697972  1.1669543  1.5969298  0.3760928  0.4489112  0.2903651 -0.5538722],[0.914563 0.446453 0.032199]
102,[-2.8702595  1.1679786  1.5861837  0.3653148  0.4487376  0.2818537 -0.5537905],[0.912025 0.446739 0.036769]
103,[-2.8703346  1.1680682  1.5836965  0.362953   0.4489694  0.2801701 -0.5536959],[0.911446 0.446744 0.037664]
104,[-2.871155   1.1686423  1.5611567  0.3479458  0.4499111  0.2591102 -0.5536036],[0.903956 0.446613 0.048152]
105,[-2.8712778  1.1672042  1.5481272  0.3328589  0.4495001  0.2387065 -0.5534468],[0.900627 0.446691 0.05271 ]
106,[-2.8713353  1.1639236  1.5349033  0.3158993  0.4494524  0.2174398 -0.553072 ],[0.897586 0.446914 0.056521]
107,[-2.8714614  1.1597293  1.5202668  0.2975534  0.4493208  0.1965023 -0.5528256],[0.894674 0.447265 0.05982 ]
