id,joint_position,m6
0,[-2.432797   1.7388728  2.0838413  0.1693704  1.145349  -0.0108856 -0.5115014],[-0.396952  0.360334  0.110616]
1,[-2.4414899  1.7316421  2.0763633  0.1695015  1.1292281 -0.0058938 -0.5111948],[-0.398486  0.359658  0.110124]
2,[-2.464      1.7135852  2.061708   0.1708128  1.0919256  0.0290264 -0.506672 ],[-0.4002    0.360305  0.104859]
3,[-2.4688272  1.7098334  2.0595701  0.170824   1.0822887  0.0322479 -0.5057595],[-0.400273  0.360235  0.104019]
4,[-2.4741511  1.7060912  2.0570631  0.1705466  1.0719066  0.0351209 -0.5045872],[-0.400478  0.360094  0.102792]
5,[-2.4816976  1.7003596  2.053102   0.1704359  1.0597615  0.0400261 -0.5022806],[-0.400766  0.360278  0.101541]
6,[-2.4954965  1.6900352  2.0446947  0.1706318  1.0430388  0.0479559 -0.497564 ],[-0.402502  0.361264  0.099902]
7,[-2.5108483  1.6800254  2.0346065  0.17133    1.0219998  0.0579328 -0.4942949],[-0.404848  0.361938  0.098892]
8,[-2.5267487  1.6692031  2.023056   0.1711893  0.9992251  0.0762952 -0.4898411],[-0.406217  0.362574  0.097108]
9,[-2.5419803  1.655247   2.0097766  0.1714581  0.9722509  0.0880773 -0.4817347],[-0.408386  0.362073  0.095662]
10,[-2.5447719  1.6521133  2.0071332  0.1721074  0.9663815  0.0905369 -0.479075 ],[-0.408842  0.361954  0.095404]
11,[-2.5562     1.6391624  1.9964852  0.1755062  0.94592    0.0984805 -0.459322 ],[-0.411368  0.360921  0.093951]
12,[-2.5670857  1.6251395  1.9851029  0.1803472  0.9241533  0.1094702 -0.4470061],[-0.414072  0.3595    0.091987]
13,[-2.569833   1.6213649  1.9823105  0.1820549  0.9191041  0.1126454 -0.4441203],[-0.414599  0.359137  0.091546]
14,[-2.5753543  1.613848   1.9761913  0.1853276  0.9082918  0.1181205 -0.4349697],[-0.416363  0.358112  0.090437]
15,[-2.5779679  1.6100963  1.97302    0.1863151  0.9023285  0.1198571 -0.4292362],[-0.416993  0.357731  0.090189]
16,[-2.5829868  1.6025546  1.9669256  0.1883948  0.8902316  0.1229193 -0.4161555],[-0.418257  0.356822  0.089672]
17,[-2.5937791  1.585892   1.9508082  0.1887539  0.860868   0.1280964 -0.4031296],[-0.421147  0.354175  0.088497]
18,[-2.5959682  1.5819286  1.9471606  0.1889256  0.8544083  0.1297799 -0.4027009],[-0.421764  0.35358   0.088322]
19,[-2.6011741  1.573624   1.9391203  0.1895999  0.843379   0.1323614 -0.4024354],[-0.423817  0.3522    0.087778]
20,[-2.6082127  1.5621932  1.9276104  0.1899374  0.8322811  0.1344405 -0.4018515],[-0.426204  0.35167   0.08741 ]
21,[-2.6176267  1.5461944  1.911611   0.1901127  0.8168817  0.136209  -0.4008609],[-0.430682  0.350919  0.087103]
